week,vote_choice,gender,age_group,education_level,municipality,weight
2025-W01,Social Democrats (S),Men,18-29,Primary,Stockholm,0.004811
2025-W01,Social Democrats (S),Men,18-29,Primary,Gothenburg,0.00353
2025-W01,Social Democrats (S),Men,18-29,Primary,Malmö,0.00298
2025-W01,Social Democrats (S),Men,18-29,Secondary,Stockholm,0.003401
2025-W01,Social Democrats (S),Men,18-29,Secondary,Gothenburg,0.003142
2025-W01,Social Democrats (S),Men,18-29,Secondary,Malmö,0.002485
2025-W01,Social Democrats (S),Men,18-29,Tertiary,Stockholm,0.003882
2025-W01,Social Democrats (S),Men,18-29,Tertiary,Gothenburg,0.002752
2025-W01,Social Democrats (S),Men,18-29,Tertiary,Malmö,0.002363
2025-W01,Social Democrats (S),Men,30-49,Primary,Stockholm,0.00424
2025-W01,Social Democrats (S),Men,30-49,Primary,Gothenburg,0.003681
2025-W01,Social Democrats (S),Men,30-49,Primary,Malmö,0.003123
2025-W01,Social Democrats (S),Men,30-49,Secondary,Stockholm,0.003259
2025-W01,Social Democrats (S),Men,30-49,Secondary,Gothenburg,0.002819
2025-W01,Social Democrats (S),Men,30-49,Secondary,Malmö,0.002472
2025-W01,Social Democrats (S),Men,30-49,Tertiary,Stockholm,0.003632
2025-W01,Social Democrats (S),Men,30-49,Tertiary,Gothenburg,0.002832
2025-W01,Social Democrats (S),Men,30-49,Tertiary,Malmö,0.002443
2025-W01,Social Democrats (S),Men,50-64,Primary,Stockholm,0.00497
2025-W01,Social Democrats (S),Men,50-64,Primary,Gothenburg,0.003515
2025-W01,Social Democrats (S),Men,50-64,Primary,Malmö,0.003311
2025-W01,Social Democrats (S),Men,50-64,Secondary,Stockholm,0.003743
2025-W01,Social Democrats (S),Men,50-64,Secondary,Gothenburg,0.002904
2025-W01,Social Democrats (S),Men,50-64,Secondary,Malmö,0.002235
2025-W01,Social Democrats (S),Men,50-64,Tertiary,Stockholm,0.003929
